title,date_text,mode_clean,price_clean,content,url
18TH ENGIEXPO INDUSTRIAL EXHIBITION VADODARA 2026,Feb 7 at 9:30am to Feb 9 at 6:30pm GMT+5:30,online,free,18TH ENGIEXPO INDUSTRIAL EXHIBITION VADODARA 2026 price free mode online,https://www.eventbrite.com/e/18th-engiexpo-industrial-exhibition-vadodara-2026-tickets-1244535000689?aff=ebdssbdestsearch
ANVAYA – The Innovation Summit 2026,unknown,online,free,ANVAYA – The Innovation Summit 2026 price free mode online,https://www.eventbrite.com/e/anvaya-the-innovation-summit-2026-tickets-1979286461086?aff=ebdssbdestsearch
Software training institute,Sep 22 from 10am to 12pm GMT+5:30,online,free,Software training institute price free mode online,https://www.eventbrite.com/e/software-training-institute-tickets-1585480878989?aff=ebdssbdestsearch
Global Art & Design Education Expo 2026 - Hyderabad,Mar 12 from 2:45pm to 7pm GMT+5:30,online,free,Global Art & Design Education Expo 2026 - Hyderabad price free mode online,https://www.eventbrite.com/e/global-art-design-education-expo-2026-hyderabad-tickets-1980443688384?aff=ebdssbdestsearch
"IC4Es-2026: Two Days International Conference On E-commerce, E-management,",Feb 13 at 10am to Feb 14 at 4pm GMT+5:30,online,paid,"IC4Es-2026: Two Days International Conference On E-commerce, E-management, price paid mode online",https://www.eventbrite.com/e/ic4es-2026-two-days-international-conference-on-e-commerce-e-management-tickets-1904922437289?aff=ebdssbdestsearch
HEAL Uttarakhand Research Center Launch Event,unknown,online,free,HEAL Uttarakhand Research Center Launch Event price free mode online,https://www.eventbrite.co.uk/e/heal-uttarakhand-research-center-launch-event-tickets-1752014184589?aff=ebdssbdestsearch
"Electric Exhibition 2026 – India’s Biggest Electrical, Electronics, Solar",unknown,online,free,"Electric Exhibition 2026 – India’s Biggest Electrical, Electronics, Solar price free mode online",https://www.eventbrite.com.au/e/electric-exhibition-2026-indias-biggest-electrical-electronics-solar-tickets-1976322596086?aff=ebdssbdestsearch
"Adhesives, Sealants & Bonding Expo 2026",unknown,online,free,"Adhesives, Sealants & Bonding Expo 2026 price free mode online",https://www.eventbrite.com/e/adhesives-sealants-bonding-expo-2026-tickets-1969101149545?aff=ebdssbdestsearch
FutureScope'26: From Ideas to Intelligent Outcomes,Mar 14 from 9am to 4:30pm GMT+5:30,online,free,FutureScope'26: From Ideas to Intelligent Outcomes price free mode online,https://www.eventbrite.com/e/futurescope26-from-ideas-to-intelligent-outcomes-tickets-1980168033894?aff=ebdssbdestsearch
Renewable & Hydro Energy Expo Uttarakhand,May 14 at 10am to May 16 at 6pm GMT+5:30,online,free,Renewable & Hydro Energy Expo Uttarakhand price free mode online,https://www.eventbrite.com/e/renewable-hydro-energy-expo-uttarakhand-tickets-1976431077557?aff=ebdssbdestsearch
