title,datetime,location,price,description,url
FutureScope'26: From Ideas to Intelligent Outcomes,,Online / Not specified,Free,,https://www.eventbrite.com/e/futurescope26-from-ideas-to-intelligent-outcomes-tickets-1980168033894?aff=ebdssbdestsearch
India Energy Week 2026,,Online / Not specified,Free,,https://www.eventbrite.com/e/india-energy-week-2026-tickets-1970285854028?aff=ebdssbdestsearch
TstEvent,,Online / Not specified,Free,,https://www.eventbrite.com/e/tstevent-tickets-321674616437?aff=ebdssbdestsearch
Biologics Festival India 2026 (End Users - APAC),,Online / Not specified,Paid / Unknown,,https://www.eventbrite.sg/e/biologics-festival-india-2026-end-users-apac-tickets-1579417563449?aff=ebdssbdestsearch
D-arc BUILD Mumbai 2026,,Online / Not specified,Free,,https://www.eventbrite.com/e/d-arc-build-mumbai-2026-tickets-1354797508819?aff=ebdssbdestsearch
The Leadership Dialogues (Edition 1),,Online / Not specified,Free parking,,https://www.eventbrite.ie/e/the-leadership-dialogues-edition-1-tickets-1978870485893?aff=ebdssbdestsearch
AI Engineers & Founders Meetup | Hyderabad,,Online / Not specified,Free,,https://www.eventbrite.com/e/ai-engineers-founders-meetup-hyderabad-tickets-1980267818352?aff=ebdssbdestsearch
Join Biggest Community | Investors Founders | New Delhi | Online,,Online / Not specified,Join Biggest Community | Investors Founders | Free Entry,,https://www.eventbrite.com/e/join-biggest-community-investors-founders-new-delhi-online-tickets-1374181797749?aff=ebdssbdestsearch
HealthCare Entrepreneur's Mixer (Mumbai),,Online / Not specified,Free,,https://www.eventbrite.com/e/healthcare-entrepreneurs-mixer-mumbai-tickets-1977399743864?aff=ebdssbdestsearch
"Electric Exhibition 2026 – India’s Biggest Electrical, Electronics, Solar",,Online / Not specified,Free,,https://www.eventbrite.com.au/e/electric-exhibition-2026-indias-biggest-electrical-electronics-solar-tickets-1976322596086?aff=ebdssbdestsearch
EARTHCON EXPO HYDERABAD 2026,,Online / Not specified,Free,,https://www.eventbrite.com/e/earthcon-expo-hyderabad-2026-tickets-1978879729541?aff=ebdssbdestsearch
Indus Engitech Expo 2026 Ranchi,,Online / Not specified,Free,,https://www.eventbrite.com/e/indus-engitech-expo-2026-ranchi-tickets-1377198049439?aff=ebdssbdestsearch
